date,open,high,low,close,volume,dividends,stock splits,capital gains
2022-11-08,155,159,155,159,11299600,0,0,0
2022-11-09,159,160,158,158,6040600,0,0,0
2022-11-10,162,163,161,163,9939900,0,0,0
2022-11-11,163,164,163,164,4622400,0,0,0
2022-11-14,164,165,164,164,6187600,0,0,0
2022-11-15,165,166,164,165,9903500,0,0,0
2022-11-16,165,165,164,165,3645800,0,0,0
2022-11-17,163,164,163,163,4574400,0,0,0
2022-11-18,163,163,162,162,4321100,0,0,0
2022-11-21,162,162,161,161,4766500,0,0,0
2022-11-22,162,162,161,162,3203800,0,0,0
2022-11-23,161,163,161,163,4167000,0,0,0
2022-11-25,162,163,162,163,1436500,0,0,0
2022-11-28,162,163,161,161,4052900,0,0,0
2022-11-29,162,163,162,162,2620600,0,0,0
2022-11-30,163,164,162,164,4874700,0,0,0
2022-12-01,167,167,166,167,8625800,0,0,0
2022-12-02,166,167,165,167,5185900,0,0,0
2022-12-05,166,166,164,164,5436200,0,0,0
2022-12-06,165,165,164,164,3597800,0,0,0
2022-12-07,165,166,165,166,4610700,0,0,0
2022-12-08,166,167,166,166,3217900,0,0,0
2022-12-09,167,168,166,167,5431300,0,0,0
2022-12-12,166,166,165,165,3504400,0,0,0
2022-12-13,169,169,168,168,6750200,0,0,0
2022-12-14,168,168,167,168,5643000,0,0,0
2022-12-15,165,166,165,165,8363000,0,0,0
2022-12-16,166,166,165,166,5372000,0,0,0
2022-12-19,166,167,165,166,3940500,0,0,0
2022-12-20,168,169,168,169,7803100,0,0,0
2022-12-21,169,169,168,168,3990100,0,0,0
2022-12-22,167,167,166,166,5672700,0,0,0
2022-12-23,166,167,166,167,2912300,0,0,0
2022-12-27,167,170,167,168,6885700,0,0,0
2022-12-28,168,168,167,167,3662500,0,0,0
2022-12-29,168,169,168,168,3345900,0,0,0
2022-12-30,169,169,168,169,2864500,0,0,0
2023-01-03,171,172,170,171,7992900,0,0,0
2023-01-04,172,173,171,172,7574600,0,0,0
2023-01-05,170,171,169,170,4692600,0,0,0
2023-01-06,171,173,171,173,7889000,0,0,0
2023-01-09,174,175,173,174,5134500,0,0,0
2023-01-10,174,174,174,174,4398400,0,0,0
2023-01-11,174,174,173,174,3374200,0,0,0
2023-01-12,176,176,174,176,6936900,0,0,0
2023-01-13,176,178,176,178,7468800,0,0,0
2023-01-17,178,178,177,177,6610800,0,0,0
2023-01-18,178,179,176,177,5384700,0,0,0
2023-01-19,178,180,178,179,6678700,0,0,0
2023-01-20,179,179,178,179,5754800,0,0,0
2023-01-23,178,179,177,179,5265500,0,0,0
2023-01-24,179,180,178,180,4604600,0,0,0
2023-01-25,179,181,179,181,6925300,0,0,0
2023-01-26,180,180,178,179,5860100,0,0,0
2023-01-27,179,179,178,179,6052700,0,0,0
2023-01-30,179,179,178,178,4210700,0,0,0
2023-01-31,178,179,178,179,5976900,0,0,0
2023-02-01,179,181,178,181,7996000,0,0,0
2023-02-02,181,181,177,177,8842400,0,0,0
2023-02-03,174,175,173,173,13674400,0,0,0
2023-02-06,174,174,173,173,8957000,0,0,0
2023-02-07,173,175,173,173,6794200,0,0,0
2023-02-08,174,174,173,174,4075600,0,0,0
2023-02-09,175,175,172,173,5361300,0,0,0
2023-02-10,173,173,172,173,2971100,0,0,0
2023-02-13,172,172,172,172,3970800,0,0,0
2023-02-14,171,173,171,172,5403100,0,0,0
2023-02-15,170,170,170,170,5423800,0,0,0
2023-02-16,170,171,169,170,4540400,0,0,0
2023-02-17,169,171,169,171,4809800,0,0,0
2023-02-21,171,171,170,170,4035900,0,0,0
2023-02-22,170,170,169,169,4105700,0,0,0
2023-02-23,169,170,169,169,5073500,0,0,0
2023-02-24,168,168,168,168,6496500,0,0,0
2023-02-27,168,169,168,169,4509200,0,0,0
2023-02-28,168,170,168,169,6761600,0,0,0
2023-03-01,170,171,170,170,6590500,0,0,0
2023-03-02,170,170,170,170,3950700,0,0,0
2023-03-03,171,172,170,172,6894500,0,0,0
2023-03-06,172,172,171,171,4264100,0,0,0
2023-03-07,170,170,168,168,8713300,0,0,0
2023-03-08,168,169,168,168,5718600,0,0,0
2023-03-09,169,170,169,170,5583000,0,0,0
2023-03-10,171,173,171,173,13803400,0,0,0
2023-03-14,177,177,176,176,10019000,0,0,0
2023-03-15,178,180,177,178,14546100,0,0,0
2023-03-16,179,179,177,178,10762200,0,0,0
2023-03-20,184,184,182,183,11845700,0,0,0
2023-03-21,182,182,179,180,10734500,0,0,0
2023-03-22,180,183,180,183,11969600,0,0,0
2023-03-23,183,186,183,185,11347100,0,0,0
2023-03-24,185,185,183,183,9245900,0,0,0
2023-03-27,181,182,180,181,6925000,0,0,0
2023-03-28,182,183,182,183,6202600,0,0,0
2023-03-29,182,183,182,182,4996500,0,0,0
2023-03-30,182,184,182,184,6360300,0,0,0
2023-03-31,184,184,182,183,8003300,0,0,0
2023-04-03,183,185,183,184,9206600,0,0,0
2023-04-04,184,188,184,187,13765400,0,0,0
2023-04-05,188,188,186,187,11440800,0,0,0
2023-04-06,186,187,185,186,6648400,0,0,0
2023-04-10,185,185,184,185,6408100,0,0,0
2023-04-11,185,186,185,186,6031500,0,0,0
2023-04-12,187,187,185,187,10000900,0,0,0
2023-04-13,189,190,188,189,14060100,0,0,0
2023-04-14,188,188,185,186,13272500,0,0,0
2023-04-17,185,185,184,185,7468100,0,0,0
2023-04-18,185,186,185,186,8056900,0,0,0
2023-04-19,184,185,184,185,7373500,0,0,0
2023-04-20,186,187,185,186,5789900,0,0,0
2023-04-21,184,185,183,184,10698700,0,0,0
2023-04-24,184,185,183,184,8303400,0,0,0
2023-04-25,184,186,184,185,8451900,0,0,0
2023-04-26,186,186,184,184,8203600,0,0,0
2023-04-27,183,184,183,184,9107400,0,0,0
2023-04-28,184,185,184,184,6700400,0,0,0
2023-05-01,186,186,183,183,7997700,0,0,0
2023-05-02,184,187,184,187,14680600,0,0,0
2023-05-03,187,189,186,189,11133800,0,0,0
2023-05-04,188,191,188,190,14146800,0,0,0
2023-05-05,186,187,185,187,12507000,0,0,0
2023-05-08,187,188,187,187,6075400,0,0,0
2023-05-09,188,189,188,189,7098800,0,0,0
2023-05-10,188,189,187,188,9392100,0,0,0
2023-05-11,188,188,186,187,8245500,0,0,0
2023-05-12,187,187,186,186,7084400,0,0,0
2023-05-15,187,187,187,187,5518100,0,0,0
2023-05-16,186,186,184,184,9519500,0,0,0
2023-05-17,184,184,183,184,7474300,0,0,0
2023-05-18,182,182,181,181,8812600,0,0,0
